target_variable,site_id,season,horizon_bin,n,rmse,mae,rmse_skill_vs_persistence,mae_skill_vs_persistence
discharge,3,summer,6-12,5442,15.289053300475326,7.674844094822837,0.0676502497764797,0.1573887444358459
discharge,3,winter,0-6,1494,5.813996541007859,3.531280818872822,0.273484254866109,0.1718007956536585
discharge,3,winter,12-18,1494,7.44062890199049,4.640938545645799,0.2592365706505303,0.2407481478243285
discharge,3,winter,18-24,1494,7.205798765096673,4.397808028990964,0.1884982322915974,0.1195580798282415
discharge,3,winter,6-12,1494,6.806090622352186,4.5026866958802,0.2658783051521154,0.215610662949897
discharge,4,fall,0-6,1932,5.672081626048705,2.8824409831384696,0.0120911202781089,0.002497457878377
discharge,4,fall,12-18,1932,10.807490918432997,6.751574966478052,0.0545735408143478,0.0113480517141943
discharge,4,fall,18-24,1932,12.365082967371242,7.661967446344979,0.0702007218805885,0.0174914797530955
discharge,4,fall,6-12,1932,9.026339791318073,5.3256182157228205,0.0305076799287907,0.012038407303238
discharge,4,spring,0-6,13110,14.050656828152205,9.219932579430436,0.0443424080333317,-0.0008075836491872
discharge,4,spring,12-18,13110,30.24695534459336,22.13730949209811,0.0127303369481709,-0.0046090033135501
discharge,4,spring,18-24,13110,33.78250988004785,24.870840805600743,-0.0435497147260122,-0.0794252447350907
discharge,4,spring,6-12,13110,24.790341907800148,17.762557721519908,0.0396605696689662,0.0277946321749273
discharge,4,summer,0-6,4872,8.60281922697985,4.849445665704793,0.0559888863751609,0.0021567485779275
discharge,4,summer,12-18,4872,12.100963094148597,8.451206370038156,0.2195458691128431,0.2490850610656385
discharge,4,summer,18-24,4872,14.067453573541275,9.961080393278344,0.2087772407417483,0.2469625586376828
discharge,4,summer,6-12,4872,10.588170508081392,6.940034678906251,0.1679040904545916,0.181485417692876
discharge,4,winter,0-6,1974,7.563566156359014,4.794151097445503,0.0590401663948252,0.0365408743833723
discharge,4,winter,12-18,1974,16.61305331220927,10.896277886635144,0.047577691110666,0.038009236344094
discharge,4,winter,18-24,1974,19.21949569263269,11.36853938696957,0.0124107059788605,-0.0071146351088262
discharge,4,winter,6-12,1974,13.137257886654965,8.621671288209122,0.0913932209261637,0.0825828347082697
